regiao,data_hora,temperatura,umidade,chuva_mm,nivel_rio,velocidade_vento,inclinacao_terreno,risco_real
Zona Norte - Área de Enchente,2026-06-10 22:09:10.438054,39.85,77.58,15.76,0.65,11.71,34.35,BAIXO
Interior SP - Área de Queimada,2026-06-10 21:09:10.438664,40.84,72.9,57.68,3.69,36.98,19.68,MEDIO
Zona Sul - Área de Deslizamento,2026-06-10 20:09:10.438686,37.34,86.46,4.7,4.75,52.12,27.1,MEDIO
Zona Sul - Área de Deslizamento,2026-06-10 19:09:10.438698,28.11,24.44,114.58,4.65,20.63,11.72,ALTO
Litoral SP - Área de Enchente,2026-06-10 18:09:10.438709,36.65,92.43,42.64,3.86,23.6,0.77,MEDIO
Interior SP - Área de Queimada,2026-06-10 17:09:10.438720,18.67,76.67,24.07,4.45,22.07,40.95,MEDIO
Zona Norte - Área de Enchente,2026-06-10 16:09:10.438730,23.84,48.31,55.86,4.47,45.25,30.3,MEDIO
Zona Norte - Área de Enchente,2026-06-10 15:09:10.438741,40.72,46.47,1.22,3.0,10.54,26.65,BAIXO
Litoral SP - Área de Enchente,2026-06-10 14:09:10.438752,31.6,77.48,96.34,2.67,45.58,30.04,ALTO
Zona Sul - Área de Deslizamento,2026-06-10 13:09:10.438762,28.24,76.13,69.08,3.09,13.43,4.99,MEDIO
Litoral SP - Área de Enchente,2026-06-10 12:09:10.438772,25.34,43.39,102.78,6.82,35.11,26.13,ALTO
Interior SP - Área de Queimada,2026-06-10 11:09:10.438782,33.85,80.55,68.91,7.99,16.53,30.1,ALTO
Interior SP - Área de Queimada,2026-06-10 10:09:10.438792,32.21,50.61,23.94,7.15,15.62,43.61,ALTO
Zona Norte - Área de Enchente,2026-06-10 09:09:10.438809,23.17,62.22,85.04,3.46,32.95,41.97,ALTO
Interior SP - Área de Queimada,2026-06-10 08:09:10.438819,25.09,89.32,51.07,7.02,17.8,10.81,ALTO
Zona Sul - Área de Deslizamento,2026-06-10 07:09:10.438829,26.98,90.97,1.46,3.99,59.99,44.55,BAIXO
Zona Sul - Área de Deslizamento,2026-06-10 06:09:10.438839,26.29,62.68,27.09,7.0,34.49,44.19,ALTO
Zona Sul - Área de Deslizamento,2026-06-10 05:09:10.438849,31.93,74.39,111.62,7.6,29.15,42.61,ALTO
Interior SP - Área de Queimada,2026-06-10 04:09:10.438859,21.59,48.21,56.82,7.48,7.56,1.62,ALTO
Litoral SP - Área de Enchente,2026-06-10 03:09:10.438869,27.86,20.17,105.2,2.06,3.96,27.28,ALTO
Interior SP - Área de Queimada,2026-06-10 02:09:10.438879,18.67,85.01,83.9,1.99,36.57,35.9,ALTO
Zona Norte - Área de Enchente,2026-06-10 01:09:10.438892,20.31,89.74,99.73,0.95,31.58,36.89,ALTO
Zona Sul - Área de Deslizamento,2026-06-10 00:09:10.438901,24.37,60.45,27.53,5.88,36.36,30.54,MEDIO
Litoral SP - Área de Enchente,2026-06-09 23:09:10.438911,29.16,79.28,112.85,7.96,20.66,18.31,ALTO
Litoral SP - Área de Enchente,2026-06-09 22:09:10.438921,29.21,71.3,119.11,3.7,46.65,7.25,ALTO
Litoral SP - Área de Enchente,2026-06-09 21:09:10.438931,23.65,87.16,50.6,2.53,22.78,44.04,MEDIO
Zona Norte - Área de Enchente,2026-06-09 20:09:10.438941,39.2,91.52,91.22,5.01,6.22,3.46,ALTO
Zona Sul - Área de Deslizamento,2026-06-09 19:09:10.438951,21.02,54.49,52.43,4.6,28.4,10.44,MEDIO
Zona Norte - Área de Enchente,2026-06-09 18:09:10.438961,24.8,21.18,106.28,6.7,31.2,29.94,ALTO
Zona Norte - Área de Enchente,2026-06-09 17:09:10.438971,33.14,93.84,19.51,7.5,31.97,9.38,ALTO
Zona Norte - Área de Enchente,2026-06-09 16:09:10.438981,28.91,79.11,18.09,2.36,34.49,43.57,BAIXO
Zona Norte - Área de Enchente,2026-06-09 15:09:10.438993,29.91,60.49,21.61,3.25,42.67,33.36,BAIXO
Zona Norte - Área de Enchente,2026-06-09 14:09:10.439003,34.75,48.22,69.84,1.4,35.65,3.92,MEDIO
Interior SP - Área de Queimada,2026-06-09 13:09:10.439013,39.12,73.26,14.08,3.63,22.33,3.24,BAIXO
Litoral SP - Área de Enchente,2026-06-09 12:09:10.439023,18.03,56.8,33.8,2.82,8.67,10.56,BAIXO
Zona Norte - Área de Enchente,2026-06-09 11:09:10.439034,29.16,59.23,58.48,1.61,22.54,23.52,MEDIO
